AlloraConsumerInvalidAggregator 0xdbdad553
AlloraConsumerInvalidConfidenceIntervals 0xca99d314
AlloraConsumerInvalidDataProvider 0xd2f31aac
AlloraConsumerInvalidDataTime 0xe684c295
AlloraConsumerInvalidDataValiditySeconds 0xc469d5e3
AlloraConsumerNoDataProvided 0xc9ffde08
AlloraConsumerNotSwitchedOn 0x4906b59b
InvalidShortString 0xb3512b0c
SafeCastOverflowedUintDowncast 0x6dfcc650
StringTooLong 0x305a27a9
AlloraConsumerAverageAggregatorNoValuesToAggregate 0x864c1a50
InvalidShortString 0xb3512b0c
StringTooLong 0x305a27a9
AlloraConsumerEvenFeeHandlerEthTransferFailed 0x72dff11a
AlloraConsumerEvenFeeHandlerFeeTooLow 0x94133f28
AlloraConsumerEvenFeeHandlerInvalidFeedOwnerFeePortion 0xb1acb6fa
AlloraConsumerMedianAggregatorNoValuesToAggregate 0x4a7c48c4
InvalidShortString 0xb3512b0c
StringTooLong 0x305a27a9
